Shelf ID,Person ID,Date,Time,Day,Age,Gender,Height,Weight,Married status,Item ID,Looking at item (s),Holding the item (s),Holding the bag,Picking up item,Returning item,Putting item into bag,Taking item out of bag,Putting item into bag in the 2nd time
4,1,2024-07-06,10:00:00,Saturday,52,Female,162,41,Married,16,27,36,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4,1,2024-07-06,10:02:00,Saturday,52,Female,162,41,Married,5,22,17,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4,1,2024-07-06,10:05:00,Saturday,52,Female,162,41,Married,4,25,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,1,2024-07-06,10:06:00,Saturday,52,Female,162,41,Married,8,21,35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,1,2024-07-06,10:08:00,Saturday,52,Female,162,41,Married,6,27,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4,1,2024-07-06,10:12:00,Saturday,52,Female,162,41,Married,5,30,16,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
7,2,2024-07-06,10:12:00,Saturday,55,Female,150,54,Single,11,39,35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7,2,2024-07-06,10:16:00,Saturday,55,Female,150,54,Single,1,20,31,TRUE,TRUE,TRUE,TRUE,,TRUE
7,2,2024-07-06,10:17:00,Saturday,55,Female,150,54,Single,15,33,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
7,2,2024-07-06,10:19:00,Saturday,55,Female,150,54,Single,11,18,15,TRUE,TRUE,TRUE,TRUE,,
2,2,2024-07-06,10:22:00,Saturday,55,Female,150,54,Single,2,20,32,TRUE,TRUE,TRUE,TRUE,,FALSE
2,2,2024-07-06,10:27:00,Saturday,55,Female,150,54,Single,6,36,18,TRUE,TRUE,TRUE,TRUE,FALSE,
2,2,2024-07-06,10:29:00,Saturday,55,Female,150,54,Single,8,37,26,TRUE,TRUE,FALSE,FALSE,,
2,2,2024-07-06,10:33:00,Saturday,55,Female,150,54,Single,1,23,34,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
0,2,2024-07-06,10:37:00,Saturday,55,Female,150,54,Single,9,23,22,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
0,2,2024-07-06,10:38:00,Saturday,55,Female,150,54,Single,10,29,28,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
0,2,2024-07-06,10:41:00,Saturday,55,Female,150,54,Single,12,17,34,TRUE,TRUE,TRUE,,TRUE,TRUE
0,2,2024-07-06,10:45:00,Saturday,55,Female,150,54,Single,6,34,39,TRUE,TRUE,TRUE,,,
0,2,2024-07-06,10:46:00,Saturday,55,Female,150,54,Single,5,38,22,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,3,2024-07-06,10:26:00,Saturday,43,Male,173,68,Married,9,35,31,TRUE,TRUE,TRUE,,TRUE,TRUE
1,3,2024-07-06,10:30:00,Saturday,43,Male,173,68,Married,17,22,36,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
2,3,2024-07-06,10:31:00,Saturday,43,Male,173,68,Married,7,21,37,TRUE,TRUE,FALSE,TRUE,FALSE,
